,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10
Gene1,5.496714153011233,4.861735698828816,5.6476885381006925,6.523029856408026,4.765846625276664,4.765863043050819,6.5792128155073915,5.7674347291529084,4.530525614065048,5.542560043585965
Gene2,4.536582307187538,4.5342702464297435,5.241962271566035,3.086719755342202,3.2750821674869672,4.437712470759028,3.9871688796655764,5.314247332595274,4.091975924478789,3.5876962986647083
Gene3,6.465648768921554,4.774223699513464,5.067528204687924,3.575251813786543,4.455617275474817,5.110922589709866,3.8490064225776974,5.3756980183456715,4.399361310081195,4.708306250206723
Gene4,4.398293387770603,6.852278184508938,4.986502775262066,3.9422890710440996,5.822544912103189,3.7791563500289778,5.208863595004756,3.040329876120224,3.6718139511015693,5.1968612358691235
Gene5,5.738466579995411,5.17136828118997,4.88435171761176,4.698896304410711,3.5214780096325726,4.280155791605291,4.539361229040212,6.057122226218915,5.343618289568461,3.236959844637266
Gene6,5.3240839693947954,4.6149177195836835,4.323077999694041,5.611676288840868,6.030999522495951,5.931280119116199,4.160782476777362,4.690787624148785,5.331263431403564,5.975545127122359
Gene7,4.52082576215471,4.8143410233361825,3.893665025993972,3.803793375919329,5.812525822394198,6.356240028570823,4.927989878419666,6.003532897892024,5.361636025047634,4.354880245394876
Gene8,5.361395605508414,6.538036566465969,4.964173960890048,6.564643655814006,2.3802548959102556,5.821902504375224,5.087047068238172,4.7009926495341325,5.091760776535502,3.012431085399107
Gene9,4.780328112162488,5.357112571511746,6.477894044741516,4.481729781726353,4.191506397106813,4.498242956415464,5.915402117702074,5.3287511096596845,4.470239796232962,5.513267433113356
Gene10,5.0970775493480405,5.968644990532889,4.297946906122648,4.672337853402232,4.607891846867842,3.5364850518678814,5.296120277064576,5.261055272179889,5.005113456642461,4.765412866624853
Gene11,3.5846292579495858,4.579354677234641,4.65728548347323,4.197722730778381,4.838714288333991,5.404050856814538,6.88618590121053,5.174577812831839,5.2575503907227645,4.925554084233832
Gene12,3.0812287847009587,4.973486124550783,5.060230209941026,7.463242112485286,4.807639035218878,5.301547342333612,4.965288230294757,3.8313219623804677,6.1428228145150205,5.751933032686774
Gene13,5.791031947043047,4.090612545205261,6.402794310936099,3.598148937207719,5.58685709380027,7.190455625809978,4.009463674869312,4.433702270397228,5.099651365087642,4.496524345883801
Gene14,3.4493365689338673,5.068562974806027,3.937696286273895,5.473592430635182,4.080575765766197,6.54993440501754,4.216746707663763,4.677938483794325,5.81351721736967,3.769135683566045
Gene15,5.22745993460413,6.307142754282428,3.3925167654387725,5.184633858532305,5.259882794248424,5.78182287177731,3.763049289121918,3.6795433869157237,5.521941565616897,5.296984673233186
Gene16,5.250492850345877,5.346448209496976,4.319975278421509,5.232253697161004,5.293072473298682,4.285648581973632,6.865774511144757,5.4738329209117875,3.8086965027973516,5.65655360863383
Gene17,4.025318329772679,5.787084603742452,6.158595579007404,4.179317681648289,5.963376129244322,5.412780926936498,5.82206015999449,6.896792982653947,4.754611883997129,4.246263835642511
Gene18,4.110485570374477,4.184189715034561,4.922898290585896,5.341151974816644,5.276690799330019,5.827183249036024,5.013001891877907,6.453534077157316,4.735343166762044,7.720169166589619
Gene19,5.625667347765006,4.142842443583717,3.929107501938888,5.482472415243185,4.776537214674149,5.714000494092092,5.473237624573545,4.927171087343127,4.153206281931595,3.4851527753141354
Gene20,4.553485047932979,5.856398794323472,5.214093744130204,3.754261221288012,5.173180925851182,5.3853173797288365,4.116142563798867,5.153725105945528,5.058208718446,3.8570297021693767
Gene21,5.357787360348283,5.560784526368234,6.083051243175277,6.053802052034903,3.622330632042909,4.062174960084877,5.51503526720866,5.513785950912209,5.515047686306048,8.85273149065472
Gene22,5.570890510693167,6.135565640180599,5.954001763493203,5.651391251305798,4.684730755359654,5.758969220493268,4.227174785462428,4.763181393259991,4.514636452170897,5.081874139386323
Gene23,7.314658566673509,3.132734807408252,5.686260190374513,3.3872841288103483,4.528068134210566,6.088950596967366,5.064280019095463,3.922255222070694,4.284696290740031,5.679597748934675
Gene24,4.2696333682828636,5.216458589581975,5.045571839903814,4.348399652394183,7.143944089325325,5.633919022318011,2.974857413342393,5.186454314769428,4.338213535231612,5.852433334796224
Gene25,4.2074792615673,4.885263558533101,5.504987278980457,5.865755194170122,3.7997035929442236,4.665498764159052,4.5250546888390435,4.346670767426288,6.765454240281096,5.404981710960955
Gene26,3.7391160456649546,5.917861947054776,7.122156197012633,6.032465260551147,3.4806300340459866,4.5157659271337485,6.2669111491866225,4.292330534381219,5.443819428146228,5.774634053429336
Gene27,4.073069528421917,4.9404746439382,1.7587326599309274,3.9756123586657104,4.74743184860684,3.7522168180351505,6.632411303931635,3.5698586220393675,4.5599555133030165,5.130740577286091
Gene28,6.441273289066116,3.5641378488205606,6.16316375215496,5.010233061019587,4.018491348952049,5.46210347426327,5.19905969557347,4.399783122841205,5.069802084990019,4.61468640313824
Gene29,5.113517345251248,5.6621306745210465,6.586016816145352,3.762184501173151,7.133033374656266,3.047912200477498,4.848214904964417,5.588317206484577,5.2809918677350325,4.377300480179406
Gene30,4.791877749642725,4.506999065341168,4.410635243055788,5.849602097021025,5.357015485965047,4.307090404739346,5.899599875433251,5.307299520876609,5.81286211883896,5.629628841923612
Gene31,4.171004989077928,4.439818959803031,5.747293605123262,5.610370265433465,4.979098406035852,5.117327383308782,6.2776648957884245,4.40842861116417,5.547097381170038,4.797807347566106
Gene32,4.782318796772779,6.09877685198719,5.82541634898803,5.813509636000639,6.305478807154329,5.021003841632759,5.6819529712949635,4.689733243406544,5.324166352488442,4.869856945632315
Gene33,5.096995964992718,5.595157025436913,4.181779316766527,7.092387275685461,3.993982618500298,3.785811387212268,6.158110873500068,5.791662693962936,5.624119817052155,5.62834550926428
